iter	Passed	Remaining
0	159	159150
1	168	84188
2	177	58924
3	185	46178
4	192	38359
5	201	33320
6	209	29678
7	217	27007
8	225	24792
9	232	23053
10	240	21586
11	247	20414
12	255	19404
13	263	18555
14	271	17833
15	278	17153
16	286	16559
17	293	16012
18	301	15558
19	308	15112
20	316	14766
21	323	14400
22	331	14090
23	338	13778
24	346	13520
25	353	13253
26	361	13018
27	368	12784
28	375	12574
29	383	12385
30	390	12192
31	397	12023
32	405	11873
33	415	11815
34	423	11669
35	430	11529
36	437	11391
37	445	11266
38	452	11153
39	460	11052
40	468	10947
41	475	10848
42	482	10738
43	489	10644
44	496	10543
45	504	10458
46	511	10374
47	519	10294
48	527	10229
49	534	10154
50	543	10111
51	551	10048
52	558	9982
53	566	9922
54	574	9869
55	581	9798
56	588	9740
57	595	9674
58	602	9614
59	609	9549
60	616	9491
61	624	9446
62	631	9386
63	638	9342
64	645	9285
65	652	9239
66	660	9198
67	667	9153
68	675	9112
69	682	9070
70	689	9026
71	696	8976
72	703	8935
73	710	8888
74	717	8847
75	724	8808
76	731	8766
77	738	8727
78	745	8685
79	752	8652
80	759	8612
81	766	8575
82	772	8535
83	779	8497
84	786	8465
85	793	8429
86	800	8403
87	808	8375
88	819	8384
89	826	8357
90	834	8333
91	842	8315
92	850	8294
93	858	8271
94	866	8251
95	873	8227
96	881	8207
97	889	8183
98	896	8163
99	904	8140
100	912	8121
101	920	8099
102	927	8080
103	936	8066
104	944	8052
105	954	8050
106	963	8038
107	971	8020
108	979	8007
109	987	7988
110	995	7970
111	1002	7951
112	1010	7934
113	1018	7916
114	1026	7896
115	1033	7876
116	1039	7847
117	1047	7826
118	1053	7798
119	1060	7779
120	1070	7780
121	1080	7774
122	1088	7759
123	1096	7748
124	1105	7738
125	1113	7727
126	1121	7711
127	1130	7702
128	1137	7680
129	1145	7663
130	1153	7650
131	1161	7638
132	1168	7616
133	1175	7596
134	1182	7574
135	1188	7550
136	1195	7532
137	1202	7510
138	1209	7494
139	1218	7482
140	1224	7462
141	1231	7440
142	1238	7420
143	1245	7404
144	1252	7383
145	1259	7367
