iter	Passed	Remaining
0	197	196988
1	217	108540
2	239	79453
3	261	65097
4	275	54911
5	288	47840
6	299	42497
7	308	38295
8	319	35158
9	328	32479
10	338	30398
11	348	28657
12	357	27126
13	367	25882
14	376	24746
15	386	23787
16	396	22929
17	406	22195
18	418	21591
19	427	20927
20	434	20268
21	443	19713
22	451	19183
23	460	18711
24	469	18308
25	478	17929
26	486	17530
27	497	17260
28	506	16964
29	515	16670
30	526	16449
31	534	16176
32	544	15954
33	553	15712
34	562	15520
35	570	15286
36	580	15106
37	588	14902
38	596	14698
39	606	14552
40	614	14363
41	624	14233
42	632	14079
43	641	13933
44	650	13796
45	658	13661
46	667	13540
47	675	13400
48	684	13279
49	691	13145
50	700	13036
51	708	12912
52	717	12816
53	725	12701
54	734	12627
55	743	12536
56	754	12480
57	764	12414
58	773	12337
59	783	12275
60	792	12197
61	803	12157
62	815	12123
63	823	12047
64	833	11990
65	842	11925
66	853	11880
67	863	11837
68	873	11790
69	883	11738
70	890	11658
71	900	11604
72	908	11539
73	918	11495
74	928	11452
75	937	11392
76	947	11356
77	956	11306
78	967	11274
79	977	11241
80	987	11200
81	997	11161
82	1007	11126
83	1018	11109
84	1029	11082
85	1038	11040
86	1050	11023
87	1061	11002
88	1070	10958
89	1081	10937
90	1089	10880
91	1098	10842
92	1105	10786
93	1114	10744
94	1122	10689
95	1130	10648
96	1138	10596
97	1147	10558
98	1154	10510
99	1163	10471
100	1171	10426
101	1180	10396
102	1188	10349
103	1197	10312
104	1207	10293
105	1215	10248
106	1223	10209
107	1231	10167
108	1238	10124
109	1246	10086
110	1254	10043
111	1262	10013
112	1270	9971
113	1279	9944
114	1288	9918
115	1297	9888
116	1305	9853
117	1313	9815
118	1321	9780
119	1328	9744
120	1336	9708
121	1345	9681
122	1352	9644
123	1360	9613
124	1368	9576
125	1381	9584
126	1392	9570
127	1401	9546
128	1410	9524
129	1420	9506
130	1428	9478
131	1438	9458
132	1447	9433
133	1456	9413
134	1465	9388
135	1475	9374
136	1485	9356
137	1494	9336
138	1505	9326
139	1514	9305
140	1524	9289
141	1532	9259
142	1540	9233
143	1548	9202
144	1556	9178
145	1563	9145
146	1573	9127
147	1580	9096
148	1588	9074
149	1596	9045
150	1607	9040
151	1616	9018
152	1625	8996
153	1635	8982
154	1643	8958
155	1653	8944
156	1662	8928
157	1672	8912
158	1681	8896
159	1690	8876
160	1700	8862
161	1710	8847
162	1720	8835
163	1729	8818
164	1740	8809
165	1750	8795
166	1759	8774
167	1769	8762
168	1777	8738
169	1785	8719
170	1793	8692
171	1802	8676
172	1809	8652
173	1819	8635
174	1826	8609
175	1834	8591
176	1842	8565
177	1851	8548
178	1858	8523
179	1868	8510
180	1876	8489
181	1886	8476
182	1895	8461
183	1904	8444
184	1915	8438
185	1924	8420
186	1935	8412
187	1946	8409
188	1956	8396
189	1967	8387
190	1978	8378
191	1987	8363
192	1999	8361
193	2010	8352
194	2018	8333
195	2026	8314
196	2035	8295
197	2043	8277
198	2050	8254
199	2058	8235
200	2066	8213
201	2073	8192
202	2081	8173
203	2088	8151
204	2097	8132
205	2104	8110
206	2114	8098
207	2123	8086
208	2133	8074
209	2143	8065
210	2153	8051
211	2163	8040
212	2171	8024
213	2180	8010
214	2190	7996
215	2198	7980
216	2207	7966
217	2216	7950
218	2226	7939
219	2234	7922
220	2245	7913
221	2254	7901
222	2263	7886
223	2271	7870
224	2279	7851
225	2286	7831
226	2294	7813
227	2301	7792
228	2309	7776
229	2316	7755
230	2325	7740
231	2331	7719
232	2340	7705
233	2348	7686
234	2356	7670
235	2363	7651
236	2371	7635
237	2378	7616
238	2386	7599
239	2394	7581
240	2404	7573
241	2411	7554
242	2419	7537
243	2427	7520
244	2436	7508
245	2444	7493
246	2455	7485
247	2464	7471
248	2473	7459
249	2481	7445
250	2491	7435
251	2500	7423
252	2509	7408
253	2518	7398
254	2526	7382
255	2537	7373
256	2546	7360
257	2557	7355
258	2566	7342
259	2574	7328
260	2584	7317
261	2592	7301
262	2599	7285
263	2606	7267
264	2613	7249
265	2621	7234
266	2628	7217
267	2637	7202
268	2644	7186
269	2653	7174
270	2660	7157
271	2669	7144
272	2677	7130
273	2687	7120
274	2695	7107
275	2704	7095
276	2714	7083
277	2722	7069
278	2731	7059
279	2739	7045
280	2749	7035
281	2758	7022
282	2768	7014
283	2776	7000
284	2786	6990
285	2797	6985
286	2808	6976
287	2817	6966
288	2826	6953
289	2835	6941
290	2842	6926
291	2851	6913
292	2858	6898
293	2867	6886
294	2874	6870
295	2883	6857
296	2890	6841
297	2898	6828
298	2906	6813
299	2914	6801
300	2923	6788
301	2933	6780
302	2942	6767
303	2950	6756
304	2960	6746
305	2969	6734
306	2979	6724
307	2988	6714
308	2999	6706
309	3009	6697
310	3018	6687
311	3028	6677
312	3037	6666
313	3046	6656
314	3055	6644
315	3064	6634
316	3073	6622
317	3082	6611
318	3090	6597
319	3097	6582
320	3104	6567
321	3112	6554
322	3119	6538
323	3127	6525
324	3134	6510
325	3142	6496
326	3149	6481
327	3157	6469
328	3164	6454
329	3173	6442
330	3180	6427
331	3187	6412
332	3197	6405
333	3206	6393
334	3213	6378
335	3221	6366
336	3228	6352
337	3235	6337
338	3243	6325
339	3252	6312
340	3260	6300
341	3267	6285
342	3276	6276
343	3283	6261
344	3292	6251
345	3299	6237
346	3308	6225
347	3315	6211
348	3323	6199
349	3331	6186
350	3340	6176
351	3348	6164
352	3358	6155
353	3367	6144
354	3376	6135
355	3386	6126
356	3394	6114
357	3404	6104
